sh600004	白云机场
sh600009	上海机场
sh600017	日照港
sh600018	上港集团
sh600026	中海发展
sh600029	南方航空
sh600057	象屿股份
sh600115	东方航空
sh600119	长江投资
sh600125	铁龙物流
sh600180	瑞茂通
sh600190	锦州港
sh600221	海南航空
sh600242	中昌海运
sh600270	外运发展
sh600279	重庆港九
sh600317	营口港
sh600386	北巴传媒
sh600428	中远航运
sh600495	晋西车轴
sh600561	江西长运
sh600575	皖江物流
sh600611	大众交通
sh600650	锦江投资
sh600662	强生控股
sh600692	亚通股份
sh600717	天津港
sh600751	天津海运
sh600787	中储股份
sh600794	保税科技
sh600798	宁波海运
sh600834	申通地铁
sh600835	上海机电
sh600894	广日股份
sh600896	中海海盛
sh600897	厦门空港
sh600967	北方创业
sh601000	唐山港
sh601006	大秦铁路
sh601008	连云港
sh601018	宁波港
sh601111	中国国航
sh601299	中国北车
sh601313	江南嘉捷
sh601333	广深铁路
sh601766	中国南车
sh601866	中海集运
sh601872	招商轮船
sh601880	大连港
sh601919	中国远洋
sh603128	华贸物流
sh603167	渤海轮渡
sz000022	深赤湾Ａ
sz000088	盐田港
sz000089	深圳机场
sz000099	中信海直
sz000421	南京中北
sz000507	珠海港
sz000582	北部湾港
sz000905	厦门港务
sz000920	南方汇通
sz000996	中国中期
sz002040	南京港
sz002183	怡亚通
sz002210	飞马国际
sz002245	澳洋顺昌
sz002320	海峡股份
sz002357	富临运业
sz002367	康力电梯
sz002448	中原内配
sz002492	恒基达鑫
sz002592	八菱科技
sz002627	宜昌交运
sz002682	龙洲股份
sz002689	博林特
sz300011	鼎汉技术
sz300013	新宁物流
sz300240	飞力达
sz300350	华鹏飞
