sh600097	开创国际
sh600108	亚盛集团
sh600127	金健米业
sh600189	吉林森工
sh600195	中牧股份
sh600251	冠农股份
sh600257	大湖股份
sh600265	ST景谷
sh600313	农发种业
sh600354	敦煌种业
sh600359	新农开发
sh600371	万向德农
sh600438	通威股份
sh600467	好当家
sh600506	香梨股份
sh600540	新赛股份
sh600598	*ST大荒
sh600965	福成五丰
sh600975	新五丰
sh601996	丰林集团
sz000048	康达尔
sz000061	农产品
sz000592	平潭发展
sz000663	永安林业
sz000702	正虹科技
sz000713	丰乐种业
sz000735	罗牛山
sz000798	中水渔业
sz000860	顺鑫农业
sz000876	新 希 望
sz000998	隆平高科
sz002041	登海种业
sz002069	獐子岛
sz002086	东方海洋
sz002100	天康生物
sz002124	天邦股份
sz002157	正邦科技
sz002173	千足珍珠
sz002234	*ST民和
sz002299	圣农发展
sz002311	海大集团
sz002321	华英农业
sz002385	大北农
sz002447	壹桥海参
sz002458	益生股份
sz002477	雏鹰农牧
sz002505	大康牧业
sz002548	金新农
sz002567	唐人神
sz002679	福建金森
sz002696	百洋股份
sz300021	大禹节水
sz300087	荃银高科
sz300094	国联水产
sz300106	西部牧业
sz300143	星河生物
sz300186	大华农
sz300189	神农大丰
sz300268	万福生科
sz300313	天山生物
