sh600075	*ST新业
sh600078	澄星股份
sh600091	ST明科
sh600135	乐凯胶片
sh600141	兴发集团
sh600155	宝硕股份
sh600160	巨化股份
sh600228	*ST昌九
sh600229	青岛碱业
sh600249	两面针
sh600277	亿利能源
sh600281	太化股份
sh600299	*ST新材
sh600301	ST南化
sh600309	万华化学
sh600315	上海家化
sh600319	亚星化学
sh600328	兰太实业
sh600339	天利高新
sh600352	浙江龙盛
sh600367	红星发展
sh600378	天科股份
sh600409	三友化工
sh600481	双良节能
sh600490	鹏欣资源
sh600599	熊猫烟花
sh600618	氯碱化工
sh600636	三爱富
sh600722	金牛化工
sh600746	江苏索普
sh600844	丹化科技
sh600985	雷鸣科化
sh601118	海南橡胶
sh601208	东材科技
sh601216	内蒙君正
sh601678	滨化股份
sh603002	宏昌电子
sh603077	和邦股份
sz000510	金路集团
sz000523	广州浪奇
sz000545	金浦钛业
sz000565	渝三峡Ａ
sz000627	天茂集团
sz000635	英 力 特
sz000662	索芙特
sz000683	远兴能源
sz000698	沈阳化工
sz000707	双环科技
sz000737	南风化工
sz000755	*ST三维
sz000818	方大化工
sz000822	*ST海化
sz000887	中鼎股份
sz000985	大庆华科
sz000990	诚志股份
sz002010	传化股份
sz002014	永新股份
sz002037	久联发展
sz002053	云南盐化
sz002054	德美化工
sz002061	江山化工
sz002068	黑猫股份
sz002092	中泰化学
sz002094	青岛金王
sz002096	南岭民爆
sz002109	兴化股份
sz002125	湘潭电化
sz002136	安纳达
sz002145	中核钛白
sz002165	红宝丽
sz002192	路翔股份
sz002201	九鼎新材
sz002211	宏达新材
sz002217	*ST合泰
sz002224	三力士
sz002226	江南化工
sz002246	北化股份
sz002250	联化科技
sz002256	彩虹精化
sz002319	乐通股份
sz002326	永太科技
sz002341	新纶科技
sz002360	同德化工
sz002361	神剑股份
sz002377	国创高新
sz002381	双箭股份
sz002386	天原集团
sz002395	双象股份
sz002407	多氟多
sz002408	齐翔腾达
sz002409	雅克科技
sz002411	九九久
sz002440	闰土股份
sz002442	龙星化工
sz002450	康得新
sz002453	天马精化
sz002455	百川股份
sz002466	天齐锂业
sz002476	宝莫股份
sz002497	雅化集团
sz002549	凯美特气
sz002562	兄弟科技
sz002581	万昌科技
sz002584	西陇化工
sz002597	金禾实业
sz002601	佰利联
sz002632	道明光学
sz002637	赞宇科技
sz002643	烟台万润
sz002648	卫星石化
sz002666	德联集团
sz002669	康达新材
sz002683	宏大爆破
sz300019	硅宝科技
sz300031	宝通带业
sz300037	新宙邦
sz300041	回天新材
sz300054	鼎龙股份
sz300063	天龙集团
sz300067	安诺其
sz300072	三聚环保
sz300082	奥克股份
sz300107	建新股份
sz300108	双龙股份
sz300109	新开源
sz300121	阳谷华泰
sz300132	青松股份
sz300135	宝利沥青
sz300174	元力股份
sz300192	科斯伍德
sz300200	高盟新材
sz300214	日科化学
sz300225	金力泰
sz300236	上海新阳
sz300237	美晨科技
sz300243	瑞丰高材
sz300261	雅本化学
sz300285	国瓷材料
sz300320	海达股份
sz300343	联创节能
