sh600089	特变电工
sh600192	长城电工
sh600268	国电南自
sh600290	华仪电气
sh600312	平高电气
sh600416	湘电股份
sh600517	置信电气
sh600525	长园集团
sh600550	*ST天威
sh600580	卧龙电气
sh600590	泰豪科技
sh600875	东方电气
sh600973	宝胜股份
sh601126	四方股份
sh601179	中国西电
sh601558	*ST锐电
sh601700	风范股份
sh601727	上海电气
sh601877	正泰电器
sh603333	明星电缆
sz000400	许继电气
sz000585	东北电气
sz000682	东方电子
sz000806	银河投资
sz000967	上风高科
sz002028	思源电气
sz002074	东源电器
sz002112	三变科技
sz002123	荣信股份
sz002130	沃尔核材
sz002168	深圳惠程
sz002169	智光电气
sz002180	艾派克
sz002202	金风科技
sz002212	南洋股份
sz002227	奥 特 迅
sz002276	万马股份
sz002300	太阳电缆
sz002323	中联电气
sz002350	北京科锐
sz002358	森源电气
sz002451	摩恩电气
sz002471	中超电缆
sz002498	汉缆股份
sz002531	天顺风能
sz002533	金杯电工
sz002560	通达股份
sz002622	永大集团
sz002660	茂硕电源
sz300001	特锐德
sz300004	南风股份
sz300018	中元华电
sz300040	九洲电气
sz300048	合康变频
sz300062	中能电气
sz300069	金利华电
sz300120	经纬电材
sz300125	易世达
sz300129	泰胜风能
sz300141	和顺电气
sz300153	科泰电源
sz300208	恒顺电气
sz300341	麦迪电气
