sh600039	四川路桥
sh600068	葛洲坝
sh600170	上海建工
sh600248	延长化建
sh600284	浦东建设
sh600321	国栋建设
sh600326	西藏天路
sh600491	龙元建设
sh600502	安徽水利
sh600512	腾达建设
sh600528	中铁二局
sh600545	新疆城建
sh600681	万鸿集团
sh600820	隧道股份
sh600853	龙建股份
sh600970	中材国际
sh600986	科达股份
sh601117	中国化学
sh601186	中国铁建
sh601390	中国中铁
sh601618	中国中冶
sh601668	中国建筑
sh601669	中国电建
sh601789	宁波建工
sh601800	中国交建
sh601886	江河创建
sz000023	深天地Ａ
sz000055	方大集团
sz000065	北方国际
sz000090	天健集团
sz000498	山东路桥
sz000509	华塑控股
sz000619	海螺型材
sz000786	北新建材
sz000961	中南建设
sz002043	兔宝宝
sz002051	中工国际
sz002060	粤水电
sz002062	宏润建设
sz002066	瑞泰科技
sz002081	金螳螂
sz002116	中国海诚
sz002135	东南网架
sz002140	东华科技
sz002163	*ST三鑫
sz002178	延华智能
sz002205	国统股份
sz002225	濮耐股份
sz002247	帝龙新材
sz002271	东方雨虹
sz002307	北新路桥
sz002310	东方园林
sz002314	雅致股份
sz002325	洪涛股份
sz002372	伟星新材
sz002375	亚厦股份
sz002392	北京利尔
sz002398	建研集团
sz002431	棕榈园林
sz002468	艾迪西
sz002469	三维工程
sz002482	广田股份
sz002542	中化岩土
sz002586	围海股份
sz002596	海南瑞泽
sz002620	瑞和股份
sz002624	金磊股份
sz002628	成都路桥
sz002652	扬子新材
sz002659	中泰桥梁
sz002663	普邦园林
sz002671	龙泉股份
sz300080	新大新材
sz300117	嘉寓股份
sz300163	先锋新材
sz300284	苏交科
sz300344	太空板业
