sh600048	保利地产
sh600052	浙江广厦
sh600053	中江地产
sh600067	冠城大通
sh600077	宋都股份
sh600082	海泰发展
sh600094	大名城
sh600113	浙江东日
sh600133	东湖高新
sh600158	中体产业
sh600159	大龙地产
sh600162	香江控股
sh600173	卧龙地产
sh600175	美都能源
sh600185	格力地产
sh600208	新湖中宝
sh600223	鲁商置业
sh600225	天津松江
sh600239	云南城投
sh600240	华业地产
sh600246	万通地产
sh600266	北京城建
sh600275	武昌鱼
sh600322	天房发展
sh600325	华发股份
sh600340	华夏幸福
sh600376	首开股份
sh600383	金地集团
sh600393	东华实业
sh600463	空港股份
sh600503	华丽家族
sh600510	黑牡丹
sh600533	栖霞建设
sh600565	迪马股份
sh600568	中珠控股
sh600604	市北高新
sh600606	金丰投资
sh600615	丰华股份
sh600617	国新能源
sh600621	华鑫股份
sh600638	新黄浦
sh600641	万业企业
sh600657	信达地产
sh600663	陆家嘴
sh600665	天地源
sh600675	中华企业
sh600683	京投银泰
sh600684	珠江实业
sh600696	多伦股份
sh600716	凤凰股份
sh600724	宁波富达
sh600732	上海新梅
sh600733	S前锋
sh600743	华远地产
sh600745	中茵股份
sh600748	上实发展
sh600759	洲际油气
sh600767	运盛实业
sh600773	西藏城投
sh600791	京能置业
sh600807	天业股份
sh600823	世茂股份
sh600862	南通科技
sh600890	中房股份
sh601588	北辰实业
sz000002	万科Ａ
sz000005	世纪星源
sz000006	深振业Ａ
sz000009	中国宝安
sz000011	深物业A
sz000014	沙河股份
sz000024	招商地产
sz000029	深深房Ａ
sz000031	中粮地产
sz000036	华联控股
sz000038	深大通
sz000040	宝安地产
sz000042	中洲控股
sz000043	中航地产
sz000046	泛海控股
sz000056	深国商
sz000150	宜华地产
sz000402	金融街
sz000502	绿景控股
sz000505	珠江控股
sz000506	中润资源
sz000511	烯碳新材
sz000514	渝开发
sz000517	荣安地产
sz000526	银润投资
sz000534	万泽股份
sz000537	广宇发展
sz000540	中天城投
sz000546	金圆股份
sz000558	莱茵置业
sz000567	海德股份
sz000573	粤宏远Ａ
sz000608	阳光股份
sz000609	绵世股份
sz000616	亿城投资
sz000620	新华联
sz000631	顺发恒业
sz000656	金科股份
sz000667	美好集团
sz000668	荣丰控股
sz000670	盈方微
sz000671	阳光城
sz000691	亚太实业
sz000711	京蓝科技
sz000718	苏宁环球
sz000732	泰禾集团
sz000736	中房地产
sz000797	中国武夷
sz000809	铁岭新城
sz000838	国兴地产
sz000861	海印股份
sz000863	三湘股份
sz000897	津滨发展
sz000918	嘉凯城
sz000926	福星股份
sz000931	中关村
sz000965	天保基建
sz000979	中弘股份
sz000981	银亿股份
sz002016	世荣兆业
sz002077	大港股份
sz002133	广宇集团
sz002146	荣盛发展
sz002208	合肥城建
sz002244	滨江集团
sz002285	世联行
sz002305	南国置业
