sh600111	北方稀土
sh600139	西部资源
sh600219	南山铝业
sh600255	鑫科材料
sh600259	广晟有色
sh600311	荣华实业
sh600331	宏达股份
sh600338	西藏珠峰
sh600362	江西铜业
sh600390	金瑞科技
sh600432	吉恩镍业
sh600456	宝钛股份
sh600459	贵研铂业
sh600489	中金黄金
sh600497	驰宏锌锗
sh600531	豫光金铅
sh600547	山东黄金
sh600549	厦门钨业
sh600595	中孚实业
sh600673	东阳光科
sh600711	盛屯矿业
sh600714	金瑞矿业
sh600768	宁波富邦
sh600888	新疆众和
sh600961	株冶集团
sh601137	博威合金
sh601168	西部矿业
sh601600	中国铝业
sh601677	明泰铝业
sh601899	紫金矿业
sh601958	金钼股份
sz000060	中金岭南
sz000426	兴业矿业
sz000587	金叶珠宝
sz000603	盛达矿业
sz000612	焦作万方
sz000630	铜陵有色
sz000657	中钨高新
sz000697	炼石有色
sz000751	锌业股份
sz000758	中色股份
sz000762	西藏矿业
sz000807	云铝股份
sz000831	五矿稀土
sz000878	云南铜业
sz000960	锡业股份
sz000962	东方钽业
sz002082	栋梁新材
sz002114	罗平锌电
sz002149	西部材料
sz002155	辰州矿业
sz002160	*ST常铝
sz002167	东方锆业
sz002171	精诚铜业
sz002182	云海金属
sz002203	海亮股份
sz002237	恒邦股份
sz002295	精艺股份
sz002333	罗普斯金
sz002340	格林美
sz002378	章源钨业
sz002379	鲁丰环保
sz002428	云南锗业
sz002460	赣锋锂业
sz002501	利源精制
sz002540	亚太科技
sz002578	闽发铝业
sz002617	露笑科技
sz300034	钢研高纳
