sh600006	东风汽车
sh600066	宇通客车
sh600081	东风科技
sh600093	禾嘉股份
sh600104	上汽集团
sh600148	长春一东
sh600166	福田汽车
sh600178	*ST东安
sh600182	S佳通
sh600213	亚星客车
sh600303	曙光股份
sh600335	国机汽车
sh600375	华菱星马
sh600418	江淮汽车
sh600469	风神股份
sh600480	凌云股份
sh600501	航天晨光
sh600523	贵航股份
sh600579	天华院
sh600609	金杯汽车
sh600623	双钱股份
sh600653	申华控股
sh600660	福耀玻璃
sh600676	交运股份
sh600686	金龙汽车
sh600699	均胜电子
sh600715	*ST松辽
sh600741	华域汽车
sh600742	一汽富维
sh600760	中航黑豹
sh600960	渤海活塞
sh601058	赛轮金宇
sh601238	广汽集团
sh601258	庞大集团
sh601633	长城汽车
sh601799	星宇股份
sh601965	中国汽研
sz000025	特力Ａ
sz000030	富奥股份
sz000338	潍柴动力
sz000550	江铃汽车
sz000559	万向钱潮
sz000572	海马汽车
sz000581	威孚高科
sz000589	黔轮胎Ａ
sz000599	青岛双星
sz000622	恒立实业
sz000625	长安汽车
sz000700	模塑科技
sz000710	天兴仪表
sz000753	漳州发展
sz000757	浩物股份
sz000760	斯太尔
sz000800	一汽轿车
sz000868	安凯客车
sz000927	一汽夏利
sz000951	中国重汽
sz000957	中通客车
sz002013	中航机电
sz002031	巨轮股份
sz002048	宁波华翔
sz002085	万丰奥威
sz002126	银轮股份
sz002190	成飞集成
sz002213	特 尔 佳
sz002265	西仪股份
sz002283	天润曲轴
sz002284	亚太股份
sz002355	兴民钢圈
sz002363	隆基机械
sz002406	远东传动
sz002434	万里扬
sz002454	松芝股份
sz002488	金固股份
sz002510	天汽模
sz002536	西泵股份
sz002555	顺荣三七
sz002590	万安科技
sz002594	比亚迪
sz002602	世纪华通
sz002607	亚夏汽车
sz002625	龙生股份
sz002662	京威股份
sz002703	浙江世宝
sz300100	双林股份
sz300176	鸿特精密
sz300258	精锻科技
sz300304	云意电气
