sh600011	华能国际
sh600021	上海电力
sh600027	华电国际
sh600098	广州发展
sh600101	明星电力
sh600110	中科英华
sh600116	三峡水利
sh600131	岷江水电
sh600236	桂冠电力
sh600292	中电远达
sh600310	桂东电力
sh600396	金山股份
sh600452	涪陵电力
sh600505	西昌电力
sh600509	天富能源
sh600578	京能电力
sh600642	申能股份
sh600644	乐山电力
sh600674	川投能源
sh600726	华电能源
sh600744	华银电力
sh600769	祥龙电业
sh600780	通宝能源
sh600795	国电电力
sh600863	内蒙华电
sh600864	哈投股份
sh600868	梅雁吉祥
sh600869	智慧能源
sh600886	国投电力
sh600900	长江电力
sh600969	郴电国际
sh600979	广安爱众
sh600995	文山电力
sh601991	大唐发电
sz000027	深圳能源
sz000037	深南电Ａ
sz000531	穗恒运Ａ
sz000539	粤电力Ａ
sz000543	皖能电力
sz000600	建投能源
sz000601	韶能股份
sz000690	宝新能源
sz000720	新能泰山
sz000722	湖南发展
sz000767	漳泽电力
sz000791	甘肃电投
sz000875	吉电股份
sz000883	湖北能源
sz000899	赣能股份
sz000939	凯迪电力
sz000958	东方能源
sz000966	长源电力
sz000993	闽东电力
sz001896	豫能控股
sz002039	黔源电力
sz002479	富春环保
sz002692	远程电缆
