sh600083	博信股份
sh600151	航天机电
sh600171	上海贝岭
sh600183	生益科技
sh600203	福日电子
sh600206	有研新材
sh600207	安彩高科
sh600237	铜峰电子
sh600353	旭光股份
sh600355	精伦电子
sh600360	华微电子
sh600363	联创光电
sh600401	海润光伏
sh600460	士兰微
sh600478	科力远
sh600537	亿晶光电
sh600563	法拉电子
sh600584	长电科技
sh600602	仪电电子
sh600667	太极实业
sh600703	三安光电
sh600707	彩虹股份
sh600747	大连控股
sh600817	ST宏盛
sh600980	北矿磁材
sh601012	隆基股份
sh601231	环旭电子
sh601908	京运通
sz000020	深华发Ａ
sz000050	深天马Ａ
sz000058	深赛格
sz000068	华控赛格
sz000413	东旭光电
sz000536	华映科技
sz000636	风华高科
sz000725	京东方Ａ
sz000727	华东科技
sz000733	振华科技
sz000823	超声电子
sz002025	航天电器
sz002045	国光电器
sz002049	同方国芯
sz002055	得润电子
sz002056	横店东磁
sz002057	中钢天源
sz002079	苏州固锝
sz002104	恒宝股份
sz002106	莱宝高科
sz002119	康强电子
sz002129	中环股份
sz002134	*ST普林
sz002137	实益达
sz002138	顺络电子
sz002139	拓邦股份
sz002141	蓉胜超微
sz002156	通富微电
sz002179	中航光电
sz002185	华天科技
sz002188	新 嘉 联
sz002189	利达光电
sz002199	东晶电子
sz002218	拓日新能
sz002222	福晶科技
sz002241	歌尔声学
sz002273	水晶光电
sz002288	超华科技
sz002289	宇顺电子
sz002371	七星电子
sz002388	新亚制程
sz002389	南洋科技
sz002402	和而泰
sz002426	胜利精密
sz002436	兴森科技
sz002449	国星光电
sz002456	欧菲光
sz002463	沪电股份
sz002475	立讯精密
sz002484	江海股份
sz002504	东光微电
sz002512	达华智能
sz002579	中京电子
sz002587	奥拓电子
sz002600	江粉磁材
sz002618	丹邦科技
sz002636	金安国纪
sz002638	勤上光电
sz002654	万润科技
sz002655	共达电声
sz300014	亿纬锂能
sz300029	天龙光电
sz300032	金龙机电
sz300046	台基股份
sz300053	欧比特
sz300077	国民技术
sz300078	中瑞思创
sz300083	劲胜精密
sz300088	长信科技
sz300102	乾照光电
sz300111	向日葵
sz300114	中航电测
sz300115	长盈精密
sz300118	东方日升
sz300127	银河磁体
sz300128	锦富新材
sz300131	英唐智控
sz300139	福星晓程
sz300154	瑞凌股份
sz300155	安居宝
sz300162	雷曼光电
sz300184	力源信息
sz300205	天喻信息
sz300207	欣旺达
sz300215	电科院
sz300219	鸿利光电
sz300220	金运激光
sz300223	北京君正
sz300224	正海磁材
sz300227	光韵达
sz300232	洲明科技
sz300241	瑞丰光电
sz300242	明家科技
sz300256	星星科技
sz300269	联建光电
sz300279	和晶科技
sz300296	利亚德
sz300301	长方照明
sz300303	聚飞光电
sz300317	珈伟股份
sz300319	麦捷科技
sz300323	华灿光电
sz300327	中颖电子
sz300331	苏大维格
sz300340	科恒股份
sz300342	天银机电
sz300346	南大光电
sz300351	永贵电器
