sh600000	浦发银行
sh600015	华夏银行
sh600016	民生银行
sh600030	中信证券
sh600036	招商银行
sh600109	国金证券
sh600369	西南证券
sh600643	爱建股份
sh600705	中航资本
sh600816	安信信托
sh600830	香溢融通
sh600837	海通证券
sh600999	招商证券
sh601009	南京银行
sh601099	太平洋
sh601166	兴业银行
sh601169	北京银行
sh601288	农业银行
sh601318	中国平安
sh601328	交通银行
sh601336	新华保险
sh601377	兴业证券
sh601398	工商银行
sh601555	东吴证券
sh601601	中国太保
sh601628	中国人寿
sh601688	华泰证券
sh601788	光大证券
sh601818	光大银行
sh601901	方正证券
sh601939	建设银行
sh601988	中国银行
sh601998	中信银行
sz000001	平安银行
sz000415	渤海租赁
sz000563	陕国投Ａ
sz000686	东北证券
sz000728	国元证券
sz000750	国海证券
sz000776	广发证券
sz000783	长江证券
sz002142	宁波银行
sz002500	山西证券
sz002673	西部证券
