sh600172	黄河旋风
sh600516	方大炭素
sh600783	鲁信创投
sh900901	仪电Ｂ股
sh900902	市北B股
sh900903	大众Ｂ股
sh900904	神奇B股
sh900905	老凤祥Ｂ
sh900906	*ST中毅B
sh900907	鼎立Ｂ股
sh900908	氯碱Ｂ股
sh900909	双钱Ｂ股
sh900910	海立Ｂ股
sh900911	金桥Ｂ股
sh900912	外高Ｂ股
sh900913	国新B股
sh900914	锦投Ｂ股
sh900915	中路Ｂ股
sh900916	金山Ｂ股
sh900917	海欣Ｂ股
sh900918	耀皮Ｂ股
sh900919	大江Ｂ股
sh900920	上柴Ｂ股
sh900921	丹科Ｂ股
sh900922	*ST三毛B
sh900923	百联Ｂ股
sh900924	上工Ｂ股
sh900925	机电Ｂ股
sh900926	宝信Ｂ
sh900927	物贸Ｂ股
sh900928	自仪Ｂ股
sh900929	锦旅Ｂ股
sh900930	沪普天Ｂ
sh900932	陆家Ｂ股
sh900933	华新Ｂ股
sh900934	锦江Ｂ股
sh900935	阳晨Ｂ股
sh900936	鄂资Ｂ股
sh900937	华电Ｂ股
sh900938	天海B
sh900939	汇丽B
sh900940	大名城B
sh900941	东信Ｂ股
sh900942	黄山Ｂ股
sh900943	开开Ｂ股
sh900945	海航Ｂ股
sh900946	天雁B股
sh900947	振华Ｂ股
sh900948	伊泰Ｂ股
sh900950	新城Ｂ股
sh900951	*ST大化B
sh900952	锦港Ｂ股
sh900953	凯马Ｂ
sh900955	九龙山B
sh900956	东贝Ｂ股
sh900957	凌云Ｂ股
sz000795	太原刚玉
sz000928	中钢国际
sz002088	鲁阳股份
sz002297	博云新材
sz200011	深物业B
sz200012	南玻Ｂ
sz200016	深康佳Ｂ
sz200017	深中华B
sz200018	中冠B
sz200019	深深宝Ｂ
sz200020	深华发Ｂ
sz200022	深赤湾Ｂ
sz200024	招商局Ｂ
sz200025	特力Ｂ
sz200026	飞亚达Ｂ
sz200028	一致Ｂ
sz200029	深深房Ｂ
sz200030	富奥B
sz200037	深南电Ｂ
sz200045	深纺织Ｂ
sz200053	深基地Ｂ
sz200054	建摩B
sz200055	方大Ｂ
sz200056	深国商B
sz200058	深赛格B
sz200152	山航Ｂ
sz200160	南江B
sz200168	雷伊B
sz200413	东旭B
sz200418	小天鹅Ｂ
sz200429	粤高速Ｂ
sz200468	宁通信Ｂ
sz200488	晨鸣Ｂ
sz200505	珠江B
sz200512	闽灿坤Ｂ
sz200521	皖美菱Ｂ
sz200530	大冷Ｂ
sz200539	粤电力Ｂ
sz200541	粤照明Ｂ
sz200550	江铃Ｂ
sz200553	沙隆达Ｂ
sz200570	苏常柴Ｂ
sz200581	苏威孚Ｂ
sz200596	古井贡Ｂ
sz200613	大东海B
sz200625	长安Ｂ
sz200706	瓦轴Ｂ
sz200725	京东方Ｂ
sz200726	鲁泰Ｂ
sz200761	本钢板Ｂ
sz200771	杭汽轮Ｂ
sz200869	张裕Ｂ
sz200986	粤华包Ｂ
sz200992	中鲁Ｂ
sz300064	豫金刚石
sz300073	当升科技
sz300179	四方达
