sh600096	云天化
sh600226	升华拜克
sh600227	赤天化
sh600230	沧州大化
sh600389	江山股份
sh600423	柳化股份
sh600426	华鲁恒升
sh600470	六国化工
sh600486	扬农化工
sh600538	国发股份
sh600596	新安股份
sh600691	阳煤化工
sh600727	鲁北化工
sh600731	湖南海利
sh600796	钱江生化
sh600803	新奥股份
sz000155	川化股份
sz000422	湖北宜化
sz000525	红太阳
sz000553	沙隆达Ａ
sz000731	四川美丰
sz000792	盐湖股份
sz000830	鲁西化工
sz000912	泸天化
sz000950	建峰化工
sz000953	河池化工
sz002004	华邦颖泰
sz002018	华信国际
sz002113	天润控股
sz002170	芭田股份
sz002215	诺普信
sz002258	利尔化学
sz002274	华昌化工
sz002391	长青股份
sz002470	金正大
sz002496	辉丰股份
sz002513	蓝丰生化
sz002538	司尔特
sz002539	新都化工
sz002588	史丹利
