sh600056	中国医药
sh600122	宏图高科
sh600136	道博股份
sh600280	中央商场
sh600306	*ST商城
sh600327	大东方
sh600361	华联综超
sh600415	小商品城
sh600511	国药股份
sh600515	海岛建设
sh600628	新世界
sh600634	中技控股
sh600655	豫园商城
sh600682	南京新百
sh600693	东百集团
sh600694	大商股份
sh600697	欧亚集团
sh600712	南宁百货
sh600723	首商股份
sh600729	重庆百货
sh600738	兰州民百
sh600753	东方银星
sh600774	汉商集团
sh600778	友好集团
sh600785	新华百货
sh600790	轻纺城
sh600814	杭州解百
sh600821	津劝业
sh600824	益民集团
sh600827	百联股份
sh600828	成商集团
sh600833	第一医药
sh600838	上海九百
sh600856	长百集团
sh600857	工大首创
sh600858	银座股份
sh600859	王府井
sh600861	北京城乡
sh600865	百大集团
sh600891	秋林集团
sh600898	三联商社
sh600998	九州通
sh601010	文峰股份
sh601116	三江购物
sh601933	永辉超市
sh603123	翠微股份
sz000026	飞亚达Ａ
sz000028	国药一致
sz000062	深圳华强
sz000408	金谷源
sz000411	英特集团
sz000416	民生控股
sz000417	合肥百货
sz000419	通程控股
sz000501	鄂武商Ａ
sz000516	国际医学
sz000560	昆百大Ａ
sz000564	西安民生
sz000587	金叶珠宝
sz000591	桐 君 阁
sz000638	万方发展
sz000679	大连友谊
sz000705	浙江震元
sz000715	中兴商业
sz000759	中百集团
sz000785	武汉中商
sz000829	天音控股
sz000882	华联股份
sz000889	茂业物流
sz000906	物产中拓
sz000987	广州友谊
sz002024	苏宁云商
sz002187	广百股份
sz002251	步步高
sz002264	新华都
sz002277	友阿股份
sz002336	人人乐
sz002344	海宁皮城
sz002416	爱施德
sz002419	天虹商场
sz002441	众业达
sz002462	嘉事堂
sz002556	辉隆股份
sz002561	徐家汇
sz002697	红旗连锁
sz300022	吉峰农机
