sh600086	东方金钰
sh600107	美尔雅
sh600137	浪莎股份
sh600177	雅戈尔
sh600233	大杨创世
sh600272	开开实业
sh600295	鄂尔多斯
sh600398	海澜之家
sh600400	红豆股份
sh600439	瑞贝卡
sh600612	老凤祥
sh600884	杉杉股份
sh601566	九牧王
sh601718	际华集团
sh603001	奥康国际
sz000902	新洋丰
sz002003	伟星股份
sz002029	七 匹 狼
sz002036	汉麻产业
sz002044	江苏三友
sz002098	浔兴股份
sz002154	报 喜 鸟
sz002239	金 飞 达
sz002269	美邦服饰
sz002291	星期六
sz002293	罗莱家纺
sz002327	富安娜
sz002345	潮宏基
sz002397	梦洁家纺
sz002425	凯撒股份
sz002485	希努尔
sz002486	嘉麟杰
sz002494	华斯股份
sz002503	搜于特
sz002517	泰亚股份
sz002563	森马服饰
sz002569	步森股份
sz002574	明牌珠宝
sz002612	朗姿股份
sz002634	棒杰股份
sz002640	百圆裤业
sz002656	卡奴迪路
sz002674	兴业科技
sz002687	乔治白
sz300005	探路者
