sh600112	天成控股
sh600202	哈空调
sh600379	宝光股份
sh600405	动力源
sh600468	百利电气
sh600482	风帆股份
sh600560	金自天正
sh600577	精达股份
sh600847	万里股份
sh600885	宏发股份
sh601311	骆驼股份
sh601616	广电电气
sz000049	德赛电池
sz000922	佳电股份
sz002164	*ST东力
sz002176	江特电机
sz002249	大洋电机
sz002266	浙富控股
sz002298	鑫龙电器
sz002309	中利科技
sz002322	理工监测
sz002334	英威腾
sz002335	科华恒盛
sz002364	中恒电气
sz002380	科远股份
sz002452	长高集团
sz002546	新联电子
sz002576	通达动力
sz002580	圣阳股份
sz002606	大连电瓷
sz002617	露笑科技
sz002647	宏磊股份
sz002664	信质电机
sz002665	首航节能
sz002670	华声股份
sz002684	猛狮科技
sz300068	南都电源
sz300140	启源装备
sz300217	东方电热
sz300222	科大智能
sz300247	桑乐金
sz300252	金信诺
sz300265	通光线缆
sz300274	阳光电源
sz300283	温州宏丰
sz300356	光一科技
