sh600050	中国联通
sh600076	青鸟华光
sh600100	同方股份
sh600105	永鼎股份
sh600130	波导股份
sh600198	大唐电信
sh600271	航天信息
sh600288	大恒科技
sh600289	亿阳信通
sh600330	天通股份
sh600345	长江通信
sh600406	国电南瑞
sh600410	华胜天成
sh600446	金证股份
sh600455	博通股份
sh600476	湘邮科技
sh600485	信威集团
sh600487	亨通光电
sh600498	烽火通信
sh600522	中天科技
sh600536	中国软件
sh600562	国睿科技
sh600570	恒生电子
sh600571	信雅达
sh600588	用友网络
sh600601	方正科技
sh600608	上海科技
sh600677	航天通信
sh600680	上海普天
sh600718	东软集团
sh600728	佳都科技
sh600734	实达集团
sh600756	浪潮软件
sh600764	中电广通
sh600775	南京熊猫
sh600776	东方通信
sh600797	浙大网新
sh600804	鹏博士
sh600845	宝信软件
sh600850	华东电脑
sh600990	四创电子
sh601519	大智慧
sh603000	人民网
sz000021	深科技
sz000032	深桑达Ａ
sz000035	中国天楹
sz000063	中兴通讯
sz000066	长城电脑
sz000070	特发信息
sz000503	海虹控股
sz000532	力合股份
sz000547	闽福发Ａ
sz000555	神州信息
sz000561	烽火电子
sz000586	汇源通信
sz000681	视觉中国
sz000693	华泽钴镍
sz000748	长城信息
sz000801	四川九洲
sz000970	中科三环
sz000977	浪潮信息
sz000997	新大陆
sz002017	东信和平
sz002027	七喜控股
sz002052	同洲电子
sz002063	远光软件
sz002065	东华软件
sz002073	软控股份
sz002089	新海宜
sz002090	金智科技
sz002093	国脉科技
sz002095	生意宝
sz002115	三维通信
sz002148	北纬通信
sz002151	北斗星通
sz002152	广电运通
sz002153	石基信息
sz002161	远望谷
sz002177	御银股份
sz002184	海得控制
sz002194	武汉凡谷
sz002195	海隆软件
sz002230	科大讯飞
sz002231	奥维通信
sz002232	启明信息
sz002253	川大智胜
sz002261	拓维信息
sz002268	卫士通
sz002279	久其软件
sz002280	新世纪
sz002281	光迅科技
sz002296	辉煌科技
sz002308	威创股份
sz002312	三泰电子
sz002313	日海通讯
sz002315	焦点科技
sz002316	键桥通讯
sz002331	皖通科技
sz002339	积成电子
sz002351	漫步者
sz002362	汉王科技
sz002368	太极股份
sz002369	卓翼科技
sz002373	千方科技
sz002376	新北洋
sz002383	合众思壮
sz002384	东山精密
sz002396	星网锐捷
sz002401	中海科技
sz002405	四维图新
sz002410	广联达
sz002417	三元达
sz002421	达实智能
sz002439	启明星辰
sz002446	盛路通信
sz002465	海格通信
sz002467	二六三
sz002474	榕基软件
sz002491	通鼎互联
sz002519	银河电子
sz002528	英飞拓
sz002544	杰赛科技
sz002547	春兴精工
sz002577	雷柏科技
sz002583	海能达
sz002609	捷顺科技
sz002635	安洁科技
sz002642	荣之联
sz002649	博彦科技
sz002657	中科金财
sz300002	神州泰岳
sz300010	立思辰
sz300017	网宿科技
sz300020	银江股份
sz300025	华星创业
sz300028	金亚科技
sz300033	同花顺
sz300036	超图软件
sz300038	梅泰诺
sz300042	朗科科技
sz300044	赛为智能
sz300045	华力创通
sz300047	天源迪科
sz300050	世纪鼎利
sz300051	三五互联
sz300052	中青宝
sz300059	东方财富
sz300065	海兰信
sz300074	华平股份
sz300075	数字政通
sz300076	GQY视讯
sz300079	数码视讯
sz300081	恒信移动
sz300085	银之杰
sz300096	易联众
sz300098	高新兴
sz300101	振芯科技
sz300104	乐视网
sz300113	顺网科技
sz300130	新国都
sz300134	大富科技
sz300136	信维通信
sz300150	世纪瑞尔
sz300166	东方国信
sz300167	迪威视讯
sz300168	万达信息
sz300170	汉得信息
sz300177	中海达
sz300182	捷成股份
sz300183	东软载波
sz300188	美亚柏科
sz300209	天泽信息
sz300211	亿通科技
sz300212	易华录
sz300213	佳讯飞鸿
sz300226	上海钢联
sz300229	拓尔思
sz300231	银信科技
sz300235	方直科技
sz300245	天玑科技
sz300248	新开普
sz300250	初灵信息
sz300253	卫宁软件
sz300264	佳创视讯
sz300270	中威电子
sz300271	华宇软件
sz300275	梅安森
sz300277	海联讯
sz300282	汇冠股份
sz300287	飞利信
sz300288	朗玛信息
sz300290	荣科科技
sz300292	吴通通讯
sz300295	三六五网
sz300297	蓝盾股份
sz300299	富春通信
sz300300	汉鼎股份
sz300302	同有科技
sz300310	宜通世纪
sz300311	任子行
sz300312	邦讯技术
sz300315	掌趣科技
sz300322	硕贝德
sz300324	旋极信息
sz300330	华虹计通
sz300333	兆日科技
sz300339	润和软件
sz300348	长亮科技
sz300352	北信源
sz300353	东土科技
