sh600070	浙江富润
sh600152	维科精华
sh600156	华升股份
sh600220	江苏阳光
sh600232	金鹰股份
sh600273	嘉化能源
sh600370	三房巷
sh600448	华纺股份
sh600483	福能股份
sh600493	凤竹纺织
sh600626	申达股份
sh600630	龙头股份
sh600689	*ST三毛
sh600735	新华锦
sh600851	海欣股份
sh600987	航民股份
sh601339	百隆东方
sh601599	鹿港科技
sz000018	中冠A
sz000045	深纺织Ａ
sz000158	常山股份
sz000611	内蒙发展
sz000726	鲁 泰Ａ
sz000779	*ST派神
sz000803	金宇车城
sz000810	创维数字
sz000813	天山纺织
sz000850	华茂股份
sz000955	欣龙控股
sz000971	蓝鼎控股
sz000982	中银绒业
sz002034	美 欣 达
sz002042	华孚色纺
sz002070	众和股份
sz002072	凯瑞德
sz002083	孚日股份
sz002087	新野纺织
sz002127	*ST新民
sz002144	宏达高科
sz002193	山东如意
sz002394	联发股份
sz002404	嘉欣丝绸
sz002516	江苏旷达
