sh600005	武钢股份
sh600010	包钢股份
sh600019	宝钢股份
sh600022	山东钢铁
sh600117	西宁特钢
sh600126	杭钢股份
sh600165	新日恒力
sh600193	创兴资源
sh600231	凌钢股份
sh600282	*ST南钢
sh600307	酒钢宏兴
sh600399	抚顺特钢
sh600477	杭萧钢构
sh600496	精工钢构
sh600507	方大特钢
sh600532	宏达矿业
sh600558	大西洋
sh600569	安阳钢铁
sh600581	八一钢铁
sh600782	新钢股份
sh600784	鲁银投资
sh600808	马钢股份
sh600882	华联矿业
sh600992	贵绳股份
sh601003	柳钢股份
sh601005	重庆钢铁
sh601028	玉龙股份
sz000409	山东地矿
sz000629	攀钢钒钛
sz000655	金岭矿业
sz000708	大冶特钢
sz000709	河北钢铁
sz000717	韶钢松山
sz000761	本钢板材
sz000778	新兴铸管
sz000825	太钢不锈
sz000890	法 尔 胜
sz000898	鞍钢股份
sz000932	华菱钢铁
sz000959	首钢股份
sz000969	安泰科技
sz002075	沙钢股份
sz002110	三钢闽光
sz002132	恒星科技
sz002318	久立特材
sz002352	鼎泰新材
sz002359	齐星铁塔
sz002423	中原特钢
sz002443	金洲管道
sz002478	常宝股份
sz002487	大金重工
sz002524	光正集团
sz002541	鸿路钢构
sz002545	东方铁塔
sz002593	日上集团
sz002615	哈尔斯
sz300345	红宇新材
