sh600073	上海梅林
sh600095	哈高科
sh600186	莲花味精
sh600191	华资实业
sh600298	安琪酵母
sh600300	维维股份
sh600305	恒顺醋业
sh600429	三元股份
sh600597	光明乳业
sh600695	大江股份
sh600737	中粮屯河
sh600866	星湖科技
sh600872	中炬高新
sh600873	梅花生物
sh600887	伊利股份
sh600962	国投中鲁
sz000019	深深宝Ａ
sz000529	广弘控股
sz000639	西王食品
sz000716	黑芝麻
sz000796	易食股份
sz000848	承德露露
sz000893	东凌粮油
sz000895	双汇发展
sz000911	南宁糖业
sz000930	中粮生化
sz000972	新中基
sz002143	印纪传媒
sz002216	三全食品
sz002220	天宝股份
sz002286	保龄宝
sz002329	皇氏集团
sz002330	得利斯
sz002387	黑牛食品
sz002481	双塔食品
sz002495	佳隆股份
sz002507	涪陵榨菜
sz002515	金字火腿
sz002557	洽洽食品
sz002568	百润股份
sz002570	贝因美
sz002582	好想你
sz002604	龙力生物
sz002626	金达威
sz002650	加加食品
sz002661	克明面业
sz002695	煌上煌
sz002702	海欣食品
sz300138	晨光生物
sz300146	汤臣倍健
sz300149	量子高科
sz300175	朗源股份
